time;0 M KCl;0.1 M KCl;0.2 M KCl;0.3 M KCl;0.4 M KCl;0.5 M KCl;0.75 M KCl;1 M KCl
122,2516;-0,979295712;-0,953837107;-0,948756737;-0,955254445;-0,967796036;-0,965709366;-0,96531278;-0,955465775
127,8868;-0,9788063;-0,951362723;-0,950747328;-0,950483115;-0,965531016;-0,967836556;-0,969129987;-0,951589957
133,5514;-0,976361885;-0,953818025;-0,945173575;-0,952688404;-0,960182123;-0,964824879;-0,969201994;-0,946289766
139,2455;-0,974760499;-0,950972761;-0,946465163;-0,952865657;-0,960564756;-0,964809661;-0,962403806;-0,950689638
144,9692;-0,974086581;-0,954214963;-0,939246494;-0,949873273;-0,962585095;-0,962347927;-0,963127116;-0,946611575
150,7228;-0,977124264;-0,950579912;-0,941587121;-0,945539218;-0,962159504;-0,966640678;-0,960254331;-0,948095996
156,5064;-0,976081565;-0,946500142;-0,940051669;-0,947913951;-0,960301806;-0,967613874;-0,956448509;-0,943072744
162,3202;-0,978822384;-0,950785316;-0,935626378;-0,952266399;-0,963799424;-0,966340733;-0,963571098;-0,942488509
168,1642;-0,976163019;-0,947954563;-0,939438508;-0,945921747;-0,959967777;-0,962045901;-0,958274785;-0,938370636
174,0387;-0,975077123;-0,94673072;-0,936718791;-0,946334208;-0,95714929;-0,958714638;-0,955948624;-0,940416524
179,9439;-0,97270991;-0,950602682;-0,939954304;-0,947328488;-0,956624166;-0,9597184;-0,958858986;-0,935675272
185,8798;-0,972938532;-0,947537342;-0,936630644;-0,944559166;-0,963404944;-0,959907654;-0,958890732;-0,941595646
191,8467;-0,972408107;-0,949755572;-0,933385832;-0,946312865;-0,957241516;-0,956586147;-0,95462612;-0,940395754
197,8447;-0,974539229;-0,950377716;-0,937298125;-0,945341837;-0,955797563;-0,961150748;-0,956019706;-0,939215301
203,8739;-0,975241983;-0,947711959;-0,932926332;-0,941979331;-0,961967523;-0,957765766;-0,955620428;-0,935717478
209,9346;-0,973866921;-0,946294578;-0,932917196;-0,944950545;-0,957869384;-0,958111887;-0,951700024;-0,939834553
216,0269;-0,970608198;-0,947112665;-0,935814606;-0,94040514;-0,952302824;-0,962363535;-0,955967135;-0,9327505
222,1509;-0,976838659;-0,945070494;-0,931362155;-0,94078177;-0,957956185;-0,952298208;-0,952337999;-0,937186854
228,3069;-0,973458503;-0,946108015;-0,929709174;-0,941559668;-0,958876343;-0,954168247;-0,95221231;-0,927800345
234,4949;-0,975283457;-0,944283515;-0,933620479;-0,940776564;-0,956695134;-0,957416654;-0,946709787;-0,929524158
240,7152;-0,973561555;-0,943458613;-0,931324707;-0,939396371;-0,95497096;-0,955026069;-0,953833024;-0,932759022
246,968;-0,970956416;-0,947313578;-0,933528793;-0,943355706;-0,949217844;-0,95686398;-0,955936222;-0,934221873
253,2533;-0,972416723;-0,942434802;-0,929593043;-0,943343559;-0,950620168;-0,955338501;-0,950389551;-0,932431887
259,5714;-0,975798602;-0,943238618;-0,928589024;-0,94333792;-0,949696578;-0,954703491;-0,953348596;-0,93156339
265,9225;-0,975608008;-0,945307967;-0,929699626;-0,940583608;-0,951919527;-0,957535019;-0,947690212;-0,928072091
272,3066;-0,972730475;-0,940403616;-0,932949706;-0,940372085;-0,952142729;-0,954183075;-0,952955334;-0,92630221
278,724;-0,97480921;-0,94383198;-0,928499066;-0,938986079;-0,95421444;-0,956294267;-0,955569616;-0,929841307
285,1749;-0,971991188;-0,942870303;-0,927288548;-0,934627384;-0,950346811;-0,952342042;-0,946275153;-0,926265196
291,6594;-0,970519966;-0,943039468;-0,930910063;-0,937812637;-0,948849272;-0,955145995;-0,947740099;-0,931046259
298,1778;-0,976489178;-0,942651751;-0,927811504;-0,937434533;-0,946862258;-0,953239406;-0,94908241;-0,920973793
304,73;-0,973995592;-0,941609099;-0,928996097;-0,9375691;-0,956512232;-0,956849672;-0,948325966;-0,924499309
311,3165;-0,976555007;-0,944467512;-0,930937881;-0,935018762;-0,951037898;-0,946149466;-0,947000592;-0,921556164
317,9373;-0,974028794;-0,942846732;-0,929031569;-0,937020337;-0,949007263;-0,953204937;-0,946207311;-0,920966736
324,5926;-0,970679312;-0,944474648;-0,924948167;-0,93919847;-0,947475623;-0,952294696;-0,948809005;-0,925136802
331,2826;-0,971160682;-0,943446427;-0,925870377;-0,939197602;-0,950115083;-0,953206628;-0,94956184;-0,926024339
338,0075;-0,975704971;-0,94141035;-0,926311359;-0,934836044;-0,95453153;-0,95162938;-0,943900864;-0,921281755
344,7674;-0,978885571;-0,942025518;-0,924070978;-0,942188511;-0,949435068;-0,952844509;-0,951197085;-0,92270919
351,5626;-0,967702174;-0,9422577;-0,926511686;-0,937595562;-0,949131043;-0,952582024;-0,946085973;-0,92713143
358,3932;-0,973696316;-0,941226753;-0,923802998;-0,940602348;-0,949427429;-0,944638685;-0,950184636;-0,917464254
365,2594;-0,974019948;-0,940203183;-0,925102322;-0,932837419;-0,95288397;-0,955611911;-0,948344292;-0,919505216
372,1614;-0,974474204;-0,941022152;-0,928225407;-0,936812458;-0,947729051;-0,953512166;-0,946240075;-0,920370119
379,0994;-0,969943702;-0,942051254;-0,9243076;-0,935613248;-0,949683957;-0,948876156;-0,943814326;-0,920401674
386,0735;-0,966785964;-0,941430794;-0,921479737;-0,936616725;-0,951124589;-0,951445719;-0,944469054;-0,923036324
